,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.2,27.3,59.3,0.461,21.4,39.9,0.536,6,19.4,0.308,17.5,22.4,0.781,11.8,28,39.8,16.8,5.5,4.5,11.5,17,78.2
Rank,,,85th,131st,102nd,20th,37th,102nd,337th,320th,332nd,13th,33rd,20th,82nd,11th,13th,18th,318th,44th,205th,160th,74th
Opponent,33,40.2,23.4,57.9,0.403,16.7,34,0.491,6.7,24,0.279,13.8,19.2,0.722,9.1,21.6,30.8,12.5,6,3.1,11.4,19.5,67.2
Rank,,,47th,185th,26th,92nd,106th,122nd,64th,263rd,2nd,201st,195th,197th,51st,28th,15th,345th,86th,150th,134th,347th,48th
