,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.3,31.1,64.4,0.483,20.7,34.6,0.597,10.4,29.8,0.35,18.5,25.8,0.716,12.9,30.2,43.1,16.8,6.1,4.5,12.8,19,91.1
Rank,,,2nd,7th,23rd,35th,219th,4th,18th,9th,126th,7th,7th,207th,34th,1st,1st,22nd,268th,50th,83rd,25th,1st
Opponent,33,40.3,28.9,68.1,0.425,21.5,44.2,0.488,7.4,23.9,0.308,16.2,23.1,0.704,12.5,24.3,36.7,12.7,7.8,4.2,10.4,20.8,81.4
Rank,,,348th,364th,96th,359th,361st,107th,148th,258th,29th,336th,341st,94th,354th,196th,305th,343rd,321st,340th,49th,363rd,356th
