,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40,28.9,59.1,0.488,18.7,32.3,0.58,10.1,26.8,0.377,14.9,19,0.784,11.2,27.4,38.6,16.8,6.9,3.8,9.6,15.9,82.7
Rank,,,26th,140th,18th,142nd,296th,12th,23rd,52nd,21st,114th,199th,15th,129th,22nd,27th,23rd,156th,100th,348th,269th,15th
Opponent,34,40,22.3,57.8,0.386,15.6,35.9,0.434,6.8,21.9,0.309,10.5,14.7,0.715,9.9,20.6,30.5,11.5,5.4,3.1,11.8,16.5,61.9
Rank,,,20th,178th,7th,35th,201st,4th,69th,143rd,37th,17th,18th,157th,124th,6th,13th,342nd,22nd,145th,171st,144th,7th
