,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.3,27.6,56.5,0.489,22.3,40.3,0.553,5.4,16.3,0.331,16.6,21.9,0.756,10.1,24.6,34.7,13.9,6.9,3,12.4,17.6,77.3
Rank,,,67th,276th,17th,11th,30th,46th,352nd,358th,228th,28th,46th,59th,216th,193rd,213th,154th,156th,223rd,115th,118th,88th
Opponent,34,40.3,23.6,57,0.413,15.6,33.2,0.469,8,23.9,0.335,13.9,19.7,0.704,11.4,20.9,32.3,13.7,6.9,3.5,13.2,18.1,69
Rank,,,51st,135th,50th,35th,78th,45th,248th,253rd,181st,205th,228th,91st,307th,9th,52nd,211th,218th,246th,286th,284th,87th
