,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.5,29.1,61.7,0.471,21.6,40.5,0.534,7.4,21.1,0.352,10.7,15,0.711,10.5,28,38.5,17.7,6.2,4.8,11.7,14.2,76.2
Rank,,,19th,39th,59th,16th,27th,108th,207th,249th,112th,346th,347th,226th,180th,11th,32nd,5th,250th,24th,189th,344th,112th
Opponent,33,40.5,24.5,61.4,0.399,16.8,36.4,0.461,7.7,25,0.309,12.5,17.2,0.727,10.6,24.1,34.7,12.9,7.5,3.6,10.9,14.5,69.3
Rank,,,115th,316th,15th,98th,226th,27th,205th,306th,43rd,101st,97th,231st,229th,177th,209th,360th,297th,274th,92nd,21st,94th
