,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.3,27.1,59.5,0.455,20.6,39.5,0.522,6.5,20,0.323,12.9,18.5,0.694,14.1,25.7,39.8,15.5,6.2,3.9,9.8,15,73.5
Rank,,,104th,120th,129th,37th,49th,152nd,312th,293rd,274th,246th,219th,273rd,9th,88th,15th,62nd,251st,85th,342nd,325th,191st
Opponent,33,40.3,22.6,55.4,0.408,17.3,38.1,0.453,5.3,17.3,0.308,10.1,13.6,0.742,8.4,20.7,29.1,12.3,5.2,2.8,10.8,16.7,60.7
Rank,,,25th,62nd,35th,126th,306th,14th,2nd,1st,33rd,12th,10th,300th,15th,7th,4th,303rd,13th,74th,74th,163rd,5th
