,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40,27.1,58.3,0.466,18.8,35.6,0.529,8.3,22.7,0.367,15.4,21.3,0.724,9.9,25.7,35.6,13.4,6,2.4,10.9,18.4,78.1
Rank,,,99th,182nd,79th,137th,184th,125th,108th,174th,53rd,80th,69th,167th,236th,94th,161st,198th,277th,310th,259th,55th,76th
Opponent,34,40,25.6,57.1,0.448,16.9,32,0.528,8.7,25.1,0.346,15.1,21.2,0.715,8.6,24.1,32.7,12.9,5.9,2.9,10.4,18.5,75
Rank,,,195th,140th,241st,105th,48th,280th,326th,311th,256th,292nd,301st,156th,23rd,174th,71st,167th,65th,91st,54th,310th,273rd
