,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.6,27.9,58.1,0.48,20.2,36.7,0.551,7.7,21.4,0.358,16.9,22.4,0.757,10.3,25.1,35.4,15,9.4,3.5,11.9,16.1,80.4
Rank,,,59th,189th,33rd,55th,135th,58th,183rd,234th,78th,21st,34th,53rd,191st,147th,170th,81st,14th,152nd,166th,252nd,35th
Opponent,33,40.6,23.9,57.4,0.417,16.2,34.1,0.475,7.8,23.4,0.332,12.4,16.6,0.75,10,21.8,31.8,13.2,7.4,3.4,15.4,18.3,68.1
Rank,,,69th,158th,64th,59th,108th,66th,211th,221st,156th,94th,63rd,323rd,136th,31st,38th,284th,289th,230th,352nd,300th,64th
