,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.2,27.2,58.2,0.466,20,36.8,0.544,7.1,21.4,0.333,15.2,20.7,0.734,9.2,26.1,35.3,14.5,7.6,5.6,11.7,16.1,76.6
Rank,,,99th,184th,75th,66th,129th,82nd,249th,236th,223rd,98th,93rd,131st,286th,68th,176th,117th,91st,5th,193rd,247th,103rd
Opponent,33,40.2,25.3,60.4,0.42,17.7,36.5,0.485,7.6,23.8,0.319,12.9,17.8,0.725,10.3,24.2,34.5,12.3,6.8,2.6,12.4,17.3,71.2
Rank,,,170th,286th,76th,163rd,230th,100th,187th,251st,83rd,123rd,125th,222nd,183rd,190th,197th,248th,209th,40th,225th,227th,154th
