,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.2,29.1,61.7,0.472,20.9,39.8,0.527,8.2,21.9,0.372,15.3,20.3,0.755,10.7,26.1,36.7,14.7,7.9,4.5,10.3,15.5,81.7
Rank,,,18th,39th,56th,25th,41st,133rd,132nd,214th,35th,87th,114th,62nd,172nd,70th,105th,101st,66th,39th,322nd,303rd,24th
Opponent,33,40.2,24.6,59.2,0.415,18.1,38,0.476,6.5,21.2,0.307,11.3,15.3,0.739,9.8,23.8,33.5,12.2,5,2.5,14.3,17.9,67
Rank,,,120th,237th,58th,194th,296th,69th,43rd,104th,27th,39th,27th,290th,105th,146th,127th,264th,6th,32nd,326th,267th,43rd
