,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.3,27.6,58.2,0.474,19.3,33.5,0.577,8.3,24.7,0.334,14.8,20.4,0.728,10.9,27.3,38.2,16.1,5.5,3.6,14.1,17.1,78.3
Rank,,,73rd,184th,45th,102nd,251st,16th,117th,90th,215th,116th,112th,152nd,162nd,28th,43rd,36th,320th,136th,23rd,155th,72nd
Opponent,34,40.3,25.3,62.8,0.402,17.6,38.4,0.459,7.6,24.4,0.313,13.1,17.9,0.73,11.6,21.9,33.5,11.4,7.3,2.5,11.4,18.3,71.2
Rank,,,166th,344th,22nd,157th,321st,22nd,191st,289th,57th,137th,129th,249th,326th,36th,125th,328th,271st,23rd,129th,299th,159th
