,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.2,28,57.7,0.485,19.2,33.8,0.567,8.8,23.9,0.37,19.6,27,0.725,11.1,23.2,34.3,13.8,9.4,2.7,10.7,18.2,84.5
Rank,,,57th,219th,19th,114th,246th,25th,68th,127th,42nd,2nd,3rd,161st,143rd,301st,236th,160th,11th,282nd,288th,66th,9th
Opponent,33,40.2,25.5,57.6,0.443,18.2,35.6,0.511,7.3,22,0.334,15.5,20.3,0.762,11,21.8,32.8,12.3,6.5,3.5,14.1,20.3,73.8
Rank,,,184th,166th,213th,203rd,186th,212th,141st,146th,171st,305th,266th,351st,279th,31st,79th,205th,165th,256th,318th,359th,236th
