,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,29,40,30,61.1,0.49,22.3,41.4,0.539,7.6,19.7,0.388,14.1,19.3,0.732,11.1,27.6,38.7,16.3,5.8,3.7,10,16.1,81.7
Rank,,,9th,53rd,11th,10th,18th,93rd,187th,310th,8th,155th,177th,139th,138th,18th,26th,31st,298th,118th,335th,244th,24th
Opponent,29,40,23.9,58.8,0.406,14.6,30.7,0.475,9.3,28.1,0.33,12.7,16.8,0.758,9.4,22.1,31.5,14,5.8,3.1,11.3,17.3,69.7
Rank,,,62nd,224th,30th,14th,24th,64th,347th,360th,138th,112th,76th,347th,77th,41st,30th,334th,57th,162nd,125th,223rd,108th
