,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40,25.8,56.6,0.455,17.5,32.3,0.541,8.3,24.4,0.34,14.9,20.1,0.743,11.5,25.2,36.6,15.5,6.9,5,10.5,15.5,74.7
Rank,,,204th,272nd,135th,243rd,298th,90th,111th,108th,182nd,111th,132nd,99th,108th,140th,108th,60th,156th,18th,303rd,302nd,149th
Opponent,34,40,21.7,56.9,0.382,14.6,31.2,0.467,7.1,25.7,0.278,12.4,16.8,0.74,10.8,20.9,31.7,10.1,5.8,2.9,11.7,17.7,63
Rank,,,11th,130th,3rd,15th,35th,41st,113th,330th,1st,92nd,74th,293rd,252nd,9th,37th,304th,54th,107th,154th,255th,11th
