,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.1,27,59.4,0.454,17.6,30.8,0.57,9.4,28.5,0.33,15.2,20.5,0.744,11.2,26.3,37.4,14,6.4,2.9,11.4,15.5,78.6
Rank,,,111th,127th,141st,234th,333rd,23rd,45th,23rd,234th,95th,108th,97th,134th,59th,67th,148th,226th,254th,211th,305th,68th
Opponent,34,40.1,24.9,58.6,0.425,17.1,35.4,0.483,7.9,23.3,0.337,11.2,15.7,0.714,9.8,23.5,33.3,11.6,6.5,3,12.9,18.6,68.9
Rank,,,145th,217th,98th,114th,172nd,89th,226th,217th,195th,35th,37th,146th,115th,122nd,114th,216th,160th,111th,262nd,317th,86th
