,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40,30.3,64,0.473,20.4,36.1,0.564,9.9,27.9,0.355,15,20.9,0.718,13.8,28.2,42,15.9,7.7,4.7,10.6,17.2,85.4
Rank,,,6th,12th,51st,50th,160th,32nd,29th,28th,88th,109th,89th,200th,12th,8th,3rd,49th,80th,32nd,293rd,145th,3rd
Opponent,34,40,24.2,60.7,0.398,17.5,38.1,0.459,6.7,22.6,0.296,14.2,20.1,0.707,11.4,22.4,33.8,11.2,6.3,3.1,12.1,17.1,69.2
Rank,,,89th,297th,14th,142nd,302nd,24th,65th,186th,11th,229th,246th,109th,311th,56th,146th,314th,134th,145th,195th,195th,93rd
