,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,35,40.1,26.7,59,0.452,16.7,30.6,0.547,9.9,28.4,0.349,16.5,19.9,0.828,9.4,27.1,36.5,14.6,5.2,2.3,9.7,16.7,79.7
Rank,,,132nd,141st,151st,290th,341st,70th,28th,26th,130th,32nd,136th,1st,272nd,31st,116th,104th,336th,329th,345th,189th,47th
Opponent,35,40.1,25.1,60.7,0.414,17.3,37,0.468,7.8,23.7,0.33,12.3,17,0.723,9.8,24.1,34,12.4,4.7,3.3,10,18.5,70.4
Rank,,,157th,295th,54th,129th,254th,43rd,219th,242nd,138th,84th,84th,209th,117th,184th,159th,261st,3rd,210th,28th,309th,132nd
