,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.2,27,58.5,0.461,20.7,38.7,0.535,6.2,19.8,0.315,19,25.9,0.733,11.2,26.2,37.4,14.1,9.4,5.1,13.2,17.4,79.2
Rank,,,113th,168th,107th,33rd,69th,103rd,326th,299th,308th,5th,6th,134th,135th,61st,74th,140th,11th,17th,58th,133rd,55th
Opponent,33,40.2,24.4,59.6,0.409,17.8,38.8,0.459,6.6,20.8,0.317,13.8,18.8,0.733,10.5,22.9,33.4,11.8,6.7,3.3,15.1,20.3,69.1
Rank,,,107th,253rd,40th,172nd,326th,23rd,48th,81st,74th,200th,170th,259th,208th,82nd,120th,224th,199th,213th,347th,359th,89th
