,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.1,27.6,55.8,0.494,17,28.7,0.593,10.6,27.1,0.39,10.8,16.4,0.661,6.4,26.6,33,16.9,6.6,2.9,10.1,13.5,76.6
Rank,,,73rd,302nd,6th,275th,358th,6th,13th,45th,6th,342nd,321st,345th,362nd,46th,303rd,16th,200th,245th,328th,354th,104th
Opponent,34,40.1,23.3,58.1,0.401,17.5,37.6,0.466,5.8,20.5,0.283,10.5,14.3,0.735,9.6,24.5,34.1,9.4,6,2.5,12,14.4,62.9
Rank,,,44th,190th,18th,145th,279th,35th,13th,71st,3rd,17th,14th,266th,91st,212th,173rd,349th,86th,23rd,191st,20th,10th
