,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.5,28.6,63.5,0.451,20.2,36.6,0.552,8.4,26.8,0.314,14.1,20.1,0.7,13,25.2,38.2,15.3,9.2,4.6,10.6,17.4,79.8
Rank,,,39th,17th,153rd,55th,140th,50th,101st,50th,314th,158th,131st,258th,31st,138th,45th,69th,16th,37th,293rd,136th,45th
Opponent,33,40.5,25.4,57.8,0.439,16.2,32.2,0.501,9.2,25.5,0.361,14.2,20.5,0.695,10.5,25.1,35.6,13.5,6.1,3.2,13.4,17.3,74.2
Rank,,,176th,176th,191st,57th,55th,169th,343rd,321st,328th,232nd,273rd,48th,222nd,257th,256th,296th,103rd,165th,297th,230th,248th
