,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.4,26.5,55.2,0.479,17.8,31.6,0.565,8.6,23.6,0.366,13.6,17.5,0.775,8.1,26.7,34.8,16.6,5.1,2.8,11.6,17.4,75.2
Rank,,,151st,326th,34th,215th,312th,30th,81st,136th,56th,195th,261st,27th,334th,45th,205th,25th,339th,271st,195th,129th,137th
Opponent,34,40.4,23.6,56,0.422,16.6,34.8,0.477,7,21.2,0.331,12.8,18.8,0.681,9.1,22.6,31.7,11.1,6.1,2.6,11.2,17.5,67.1
Rank,,,54th,86th,84th,84th,145th,76th,98th,105th,146th,120th,174th,16th,42nd,67th,35th,340th,103rd,35th,115th,239th,45th
