,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.1,27.6,55,0.502,20.3,34.7,0.585,7.3,20.4,0.36,14.3,19.5,0.736,7.2,24.6,31.7,13.6,6.3,3.3,10.9,16.1,76.9
Rank,,,68th,327th,2nd,53rd,217th,8th,220th,282nd,71st,141st,169th,124th,356th,201st,331st,187th,250th,180th,259th,255th,95th
Opponent,34,40.1,26.6,58.6,0.455,20,38.3,0.522,6.6,20.3,0.328,13.1,17.7,0.738,9.5,23,32.5,12.4,5.5,2.8,10.9,17.6,72.9
Rank,,,269th,213th,272nd,328th,315th,268th,59th,64th,124th,137th,121st,281st,82nd,85th,62nd,178th,27th,59th,84th,244th,212th
