,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.5,31.8,63.6,0.5,24.5,42.3,0.578,7.3,21.3,0.344,15.7,19.6,0.801,11.2,27.4,38.6,19.7,7.6,3,9.4,16.7,86.6
Rank,,,1st,16th,4th,2nd,12th,15th,215th,240th,160th,63rd,157th,4th,133rd,22nd,28th,1st,91st,235th,353rd,187th,2nd
Opponent,33,40.5,24.9,60.1,0.414,17.5,35.7,0.491,7.4,24.4,0.302,12.5,17.2,0.728,9.8,23,32.9,12.1,5.2,3.4,13,17.8,69.6
Rank,,,142nd,273rd,53rd,147th,195th,123rd,148th,286th,18th,101st,94th,241st,120th,86th,83rd,364th,17th,230th,270th,260th,103rd
