,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,32,40.3,25,60,0.416,18,37.4,0.48,7,22.5,0.311,17.4,25,0.695,16.2,25,41.2,11.9,7.5,4.1,12.3,17.3,74.3
Rank,,,267th,104th,330th,202nd,108th,309th,262nd,185th,323rd,16th,11th,271st,1st,153rd,5th,297th,105th,79th,119th,141st,160th
Opponent,32,40.3,22.2,55,0.403,13.6,29.2,0.465,8.6,25.8,0.334,14.9,19.4,0.768,9.7,22.3,32,14.4,8,5.5,13.4,19.9,67.9
Rank,,,16th,52nd,25th,7th,13th,32nd,320th,333rd,169th,285th,220th,358th,99th,52nd,43rd,67th,333rd,364th,301st,354th,59th
