,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40,27.7,56.5,0.49,19.4,34.9,0.555,8.3,21.5,0.385,14.3,19.5,0.73,9.5,22.8,32.4,16,6.5,1.7,10.4,16.1,77.9
Rank,,,67th,279th,12th,96th,206th,42nd,113th,229th,13th,144th,165th,142nd,259th,315th,319th,42nd,211th,360th,316th,252nd,79th
Opponent,33,40,25.5,56.2,0.455,18.2,32.2,0.564,7.4,24,0.307,12.6,17.4,0.726,9.7,21.2,30.9,14.8,5.9,3.1,11.8,17.9,71.1
Rank,,,188th,98th,273rd,203rd,54th,355th,148th,262nd,28th,108th,108th,230th,103rd,14th,19th,322nd,72nd,128th,177th,267th,150th
