,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.3,26.6,60.1,0.442,18.3,35.9,0.51,8.2,24.2,0.341,15.8,21.4,0.738,9.2,23.8,33.1,14.2,8.8,3.8,8.9,18.2,77.2
Rank,,,138th,96th,204th,170th,163rd,211th,119th,117th,171st,59th,64th,120th,286th,258th,300th,127th,29th,95th,362nd,71st,92nd
Opponent,33,40.3,24.1,55.6,0.433,16.1,31.2,0.516,8,24.5,0.327,15.5,22,0.705,10.6,27.1,37.7,14,5.8,4,14.3,17.9,71.7
Rank,,,78th,74th,143rd,55th,33rd,240th,248th,291st,122nd,305th,321st,96th,229th,352nd,334th,237th,56th,325th,326th,270th,176th
