,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.9,27.5,59.2,0.465,19.1,36.5,0.523,8.5,22.8,0.372,12.8,16.7,0.766,11.2,24.1,35.3,14.4,7.5,3.6,10.5,15.2,76.3
Rank,,,76th,133rd,82nd,118th,145th,145th,98th,171st,36th,249th,307th,36th,129th,238th,174th,121st,110th,128th,306th,320th,109th
Opponent,33,40.9,24,56.2,0.427,17.1,34.7,0.493,6.9,21.5,0.322,10.8,15.5,0.695,10.3,22,32.3,10.5,6.2,2.9,13.4,16.2,65.7
Rank,,,74th,95th,113th,117th,139th,133rd,85th,124th,95th,25th,31st,47th,183rd,38th,59th,244th,108th,104th,294th,119th,26th
