,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.6,29.5,65.5,0.451,23.5,45.6,0.515,6,19.9,0.304,13.6,19.8,0.689,14.5,26.4,40.9,15.9,9.2,5.2,11.1,16.6,78.7
Rank,,,14th,4th,155th,5th,4th,189th,336th,296th,342nd,193rd,145th,290th,4th,57th,7th,49th,17th,14th,242nd,198th,66th
Opponent,34,40.6,23.3,58.1,0.401,15.7,34.4,0.458,7.5,23.7,0.318,11.8,17.6,0.67,10.7,24.3,35,13,6.6,3.8,15.6,17.3,65.9
Rank,,,43rd,189th,17th,41st,126th,20th,177th,240th,80th,61st,119th,5th,242nd,199th,224th,314th,180th,300th,355th,218th,31st
