,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.1,26.6,59.6,0.446,17.1,31.2,0.548,9.5,28.4,0.334,14.5,19.5,0.744,13.3,25.1,38.4,15,8.1,5.5,11.3,17.9,77.1
Rank,,,141st,117th,179th,271st,322nd,68th,43rd,27th,216th,132nd,167th,98th,21st,142nd,36th,87th,50th,6th,231st,91st,93rd
Opponent,34,40.1,21.2,54.6,0.388,15.4,35.5,0.433,5.8,19.1,0.304,14.2,19.9,0.717,10.8,22.5,33.3,9.9,6.6,2.3,13.8,17.1,62.4
Rank,,,8th,38th,8th,31st,181st,3rd,13th,28th,21st,239th,238th,166th,252nd,59th,114th,276th,169th,8th,312th,198th,8th
