,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.5,26.8,58.6,0.457,19.1,36,0.53,7.7,22.6,0.34,14.9,19.6,0.763,10.2,25.3,35.5,14.6,7.2,3.8,11.3,16.4,76.2
Rank,,,123rd,160th,121st,118th,162nd,120th,179th,179th,185th,110th,163rd,43rd,205th,118th,162nd,111th,139th,101st,229th,219th,112th
Opponent,33,40.5,25.9,60.1,0.431,18.8,37.6,0.5,7.1,22.5,0.317,12,16.6,0.721,10.5,23.2,33.7,13,6.1,3.2,12.2,17.8,70.9
Rank,,,224th,270th,134th,258th,281st,166th,108th,173rd,76th,69th,65th,194th,201st,98th,136th,254th,96th,165th,207th,263rd,148th
