,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.3,26,60,0.434,18.5,38.1,0.487,7.5,21.9,0.341,13.1,19.3,0.676,12,26.5,38.5,13.7,6.7,4,11.4,16.5,72.6
Rank,,,186th,100th,260th,157th,89th,290th,200th,212th,174th,229th,175th,318th,69th,52nd,32nd,175th,186th,83rd,221st,208th,215th
Opponent,33,40.3,23,57.2,0.402,15.7,35,0.45,7.3,22.2,0.327,12.8,18.2,0.708,10.3,25.2,35.5,11.4,6.3,2.8,12.7,16.8,66.1
Rank,,,33rd,146th,21st,39th,151st,10th,133rd,162nd,120th,122nd,144th,118th,177th,267th,247th,189th,142nd,57th,247th,180th,36th
