,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.3,27.8,62.5,0.445,18.5,33.6,0.549,9.4,28.9,0.325,11.8,16.3,0.723,11,23.2,34.2,13.8,9,3.7,9.3,16,76.9
Rank,,,60th,24th,186th,159th,247th,63rd,46th,17th,266th,305th,322nd,174th,150th,293rd,240th,163rd,20th,115th,358th,266th,96th
Opponent,33,40.3,24.5,56.3,0.435,17.4,33.9,0.513,7.1,22.4,0.318,12.4,17,0.728,10.5,25.5,35.9,14.7,5.6,2.9,14.8,14.8,68.5
Rank,,,115th,102nd,168th,136th,100th,224th,108th,171st,77th,90th,85th,237th,201st,284th,273rd,199th,34th,99th,337th,27th,71st
