,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.2,29.7,61.5,0.483,20.5,36.6,0.561,9.2,25,0.368,15.3,20.6,0.74,11.7,25.4,37.1,16.5,7,6.2,9.2,18.6,83.8
Rank,,,10th,46th,24th,43rd,142nd,35th,57th,83rd,47th,91st,98th,111th,94th,112th,90th,30th,152nd,2nd,359th,39th,10th
Opponent,33,40.2,23.6,57.6,0.409,17.7,37.6,0.472,5.8,20,0.292,16.6,22.6,0.735,11,22.3,33.3,9.5,6.1,2.7,12,17.5,69.6
Rank,,,52nd,169th,39th,164th,277th,54th,15th,52nd,7th,346th,332nd,267th,279th,51st,116th,335th,96th,53rd,192nd,240th,101st
