,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.3,26.8,59.2,0.453,17.1,30.8,0.557,9.7,28.4,0.341,12,18.1,0.661,13,25.4,38.4,15,6.1,2.6,10.9,16.8,75.3
Rank,,,121st,137th,148th,265th,335th,39th,33rd,25th,179th,293rd,238th,342nd,30th,110th,36th,82nd,269th,298th,259th,172nd,135th
Opponent,34,40.3,23.9,55,0.435,15.3,29.5,0.518,8.6,25.6,0.338,13.4,19.3,0.691,8.6,22.1,30.8,11.7,6.2,2.9,10.3,16.2,69.8
Rank,,,66th,49th,159th,27th,16th,255th,321st,325th,204th,161st,210th,35th,23rd,44th,17th,283rd,127th,92nd,41st,114th,114th
