,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.7,26.9,58.8,0.458,18.9,38.5,0.49,8.1,20.3,0.398,12.3,16.6,0.741,12.3,23.9,36.2,12,7.9,4.6,9.3,16.4,74.2
Rank,,,114th,154th,117th,134th,73rd,286th,144th,286th,4th,282nd,316th,109th,57th,254th,132nd,294th,61st,36th,356th,222nd,165th
Opponent,34,40.7,19.6,51.3,0.383,12.8,29.2,0.439,6.8,22.1,0.309,12.4,17.5,0.709,9.9,21.7,31.6,10.8,4.9,2.5,13.8,16.2,58.5
Rank,,,1st,6th,4th,3rd,12th,5th,74th,153rd,41st,92nd,112th,122nd,129th,29th,34th,71st,5th,28th,312th,114th,2nd
