,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.6,24.7,55.9,0.442,16.7,33,0.508,8,22.9,0.348,13,17.7,0.734,10.3,27.4,37.7,15,6.1,2.8,15.1,15.8,70.4
Rank,,,281st,301st,203rd,290th,274th,222nd,148th,165th,133rd,238th,257th,131st,194th,24th,59th,84th,259th,265th,8th,275th,272nd
Opponent,34,40.6,24.7,60.9,0.406,16.3,33.9,0.482,8.4,27,0.312,11.9,16.2,0.735,10.9,22.4,33.3,13,8.9,3.1,11.2,16.2,69.8
Rank,,,131st,300th,33rd,71st,101st,84th,299th,348th,52nd,65th,49th,269th,256th,56th,109th,279th,358th,134th,115th,121st,112th
