,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.1,28.7,58.2,0.494,20.5,35.5,0.577,8.2,22.6,0.364,16.5,21.6,0.763,11.3,25.2,36.4,13,6.2,2.9,10.4,18,82.2
Rank,,,33rd,186th,7th,44th,185th,17th,121st,178th,63rd,30th,58th,42nd,120th,140th,120th,226th,256th,248th,311th,80th,19th
Opponent,34,40.1,24.1,56.5,0.426,17.4,36.3,0.481,6.6,20.2,0.327,14,20,0.701,10.2,20.5,30.7,10.4,5,2.7,11.7,18.4,68.8
Rank,,,77th,109th,105th,141st,220th,82nd,54th,59th,121st,216th,244th,83rd,170th,5th,14th,138th,8th,56th,158th,307th,78th
