,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.8,28.8,59.7,0.482,18.1,30.8,0.586,10.7,28.8,0.371,12.7,18,0.705,11.1,26.4,37.5,17.2,7.2,3.2,12.1,16.1,81
Rank,,,30th,112th,25th,191st,332nd,7th,10th,19th,37th,257th,243rd,241st,143rd,56th,65th,10th,139th,198th,139th,247th,29th
Opponent,33,40.8,24.9,58.1,0.429,15.9,32.3,0.493,9,25.8,0.348,12.1,17.1,0.706,9.3,22.2,31.5,13,6.6,2.6,11.9,16.5,70.9
Rank,,,144th,190th,120th,50th,57th,138th,337th,332nd,264th,72nd,88th,106th,70th,47th,27th,355th,170th,42nd,179th,152nd,147th
