,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.7,26.5,58.8,0.451,18.9,37.2,0.509,7.6,21.6,0.35,16.3,22.6,0.722,12.4,24.9,37.4,16,6.4,4.5,13,16.5,76.9
Rank,,,148th,153rd,159th,129th,112th,216th,193rd,224th,123rd,39th,30th,179th,50th,162nd,73rd,39th,235th,43rd,71st,205th,98th
Opponent,34,40.7,25.5,58.4,0.438,18.5,37.5,0.494,7,20.9,0.336,12.4,17.2,0.721,9.9,22.5,32.5,13,7.1,3.5,13.1,19.2,70.4
Rank,,,186th,201st,181st,233rd,274th,143rd,94th,85th,184th,89th,92nd,191st,133rd,62nd,62nd,326th,261st,246th,278th,338th,134th
