,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,32,40.2,27.9,61.8,0.451,19.8,37,0.536,8.1,24.9,0.325,15.7,21,0.747,11.7,23.2,34.9,14,9,4,10.4,18,79.6
Rank,,,58th,37th,152nd,74th,125th,101st,137th,87th,260th,64th,84th,84th,90th,299th,200th,151st,19th,84th,313th,85th,48th
Opponent,32,40.2,25.7,55.8,0.46,18,34.9,0.515,7.7,20.9,0.369,15.7,21.8,0.72,9.8,24.7,34.5,12.2,5.8,4.2,14.1,17.6,74.8
Rank,,,203rd,83rd,304th,184th,148th,237th,204th,89th,344th,316th,316th,189th,113th,222nd,196th,213th,48th,337th,319th,243rd,265th
