,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.3,28.7,60.8,0.473,21.9,39.7,0.551,6.8,21.1,0.324,17.4,22.2,0.784,12.2,27.4,39.6,16.3,7.7,4.3,11.5,16.6,81.7
Rank,,,33rd,65th,52nd,14th,43rd,51st,277th,251st,270th,14th,36th,16th,59th,24th,18th,33rd,82nd,62nd,209th,191st,22nd
Opponent,34,40.3,25.5,61.4,0.415,16.9,35.7,0.472,8.6,25.7,0.336,12.8,17.9,0.714,10.9,21.9,32.7,13.6,6.4,2.7,11.8,17.7,72.4
Rank,,,182nd,317th,57th,103rd,192nd,57th,323rd,331st,190th,117th,131st,148th,257th,34th,75th,332nd,153rd,46th,168th,251st,201st
