,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,32,40.2,27.2,59.4,0.458,20.9,39.7,0.526,6.3,19.8,0.321,13.9,19.7,0.706,10.9,25.5,36.4,15.9,5.8,3.3,11.6,16.6,74.7
Rank,,,91st,123rd,118th,28th,46th,137th,321st,303rd,286th,173rd,155th,238th,158th,101st,121st,46th,293rd,174th,202nd,197th,152nd
Opponent,32,40.2,25.8,59.5,0.434,18.3,36.3,0.503,7.6,23.2,0.327,12.8,17.6,0.725,10,23.7,33.7,13.4,6.8,3.3,11.3,17.9,72
Rank,,,218th,251st,157th,212th,223rd,176th,183rd,210th,117th,115th,117th,218th,138th,139th,141st,319th,201st,192nd,126th,273rd,186th
