,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.3,29,63.2,0.459,21.9,42.8,0.512,7.1,20.4,0.347,16.2,23.5,0.687,12.2,27.1,39.3,15.2,8.9,5.1,11.4,17.5,81.2
Rank,,,22nd,19th,114th,15th,7th,203rd,253rd,278th,137th,46th,19th,295th,58th,35th,20th,77th,28th,16th,213th,121st,26th
Opponent,33,40.3,24.9,58.2,0.429,17.4,36,0.484,7.5,22.2,0.339,13.4,20.1,0.665,9.2,26.1,35.3,14.7,6.9,4.1,15.3,19.3,70.8
Rank,,,146th,196th,118th,139th,210th,94th,174th,157th,207th,162nd,251st,2nd,64th,318th,239th,288th,232nd,329th,351st,343rd,143rd
