,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,32,40.2,25.2,57.3,0.44,15.9,31.2,0.511,9.3,26.1,0.356,11.6,16.9,0.686,11.3,25.8,37.1,12.9,5,3.4,12.7,17.2,71.3
Rank,,,248th,248th,217th,331st,320th,209th,52nd,61st,83rd,317th,293rd,299th,116th,86th,88th,235th,343rd,164th,86th,149th,249th
Opponent,32,40.2,25.6,59,0.433,18.3,37.2,0.49,7.3,21.8,0.335,14.1,19.4,0.726,10.4,22.8,33.2,12.5,7.3,2.9,9.2,15,72.5
Rank,,,191st,234th,147th,207th,259th,119th,140th,138th,180th,218th,216th,223rd,196th,75th,105th,127th,276th,94th,10th,40th,206th
