,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.6,27.5,57.2,0.48,18.8,32.8,0.573,8.6,24.4,0.354,13.8,17.5,0.791,11.1,24.5,35.6,17.6,5.3,6.4,11.2,18,77.4
Rank,,,80th,253rd,32nd,138th,281st,20th,82nd,110th,94th,178th,264th,11th,145th,203rd,156th,6th,329th,1st,236th,84th,84th
Opponent,33,40.6,22.9,54.1,0.423,16.4,35.6,0.46,6.5,18.5,0.351,15.8,21.6,0.73,9.3,20,29.3,10.1,5.6,2.9,10.2,16,68
Rank,,,31st,25th,90th,75th,189th,26th,41st,16th,285th,324th,312th,247th,67th,3rd,5th,359th,38th,100th,34th,99th,62nd
