,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.1,30.2,65.7,0.46,22.4,42.5,0.528,7.8,23.2,0.337,14.1,19.6,0.717,13.4,28.1,41.5,15,6.7,6,12,15.6,82.4
Rank,,,7th,2nd,108th,9th,10th,130th,163rd,151st,203rd,161st,159th,205th,18th,10th,4th,87th,189th,3rd,153rd,290th,18th
Opponent,34,40.1,26.6,64.1,0.416,19.3,41.5,0.465,7.3,22.5,0.324,13.3,18.6,0.718,11.1,25,36.1,11.4,6.7,2.4,12.1,17.1,73.9
Rank,,,269th,353rd,60th,292nd,357th,34th,138th,176th,106th,159th,163rd,176th,290th,255th,283rd,276th,194th,13th,202nd,203rd,239th
