,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.2,29.7,61.6,0.482,20.1,35.9,0.559,9.6,25.7,0.374,16.3,22.1,0.738,10.1,28.4,38.5,16.8,6.8,4,11.1,17.4,85.3
Rank,,,10th,43rd,26th,62nd,166th,37th,37th,71st,30th,38th,40th,120th,218th,7th,33rd,20th,182nd,81st,247th,136th,4th
Opponent,33,40.2,27.6,63.2,0.437,19.2,35.7,0.537,8.5,27.5,0.308,14.1,19.6,0.72,9.9,25.1,35,12.8,6.3,2.9,10.2,17.9,77.9
Rank,,,321st,345th,178th,279th,195th,307th,305th,353rd,33rd,222nd,226th,190th,127th,257th,224th,344th,139th,89th,37th,270th,324th
