,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.1,25.7,63.5,0.405,16.7,36.3,0.461,9,27.2,0.33,13.1,18.9,0.692,11.7,24.6,36.2,11.8,7.8,2.9,9.1,18.2,73.4
Rank,,,211th,17th,353rd,290th,151st,346th,63rd,44th,231st,230th,204th,283rd,93rd,201st,130th,308th,71st,254th,360th,65th,194th
Opponent,34,40.1,24.8,56.9,0.435,17.4,34.6,0.502,7.4,22.3,0.331,15.3,21.9,0.699,10.9,28.7,39.6,12.3,5.2,3.3,13.1,16.1,72.2
Rank,,,136th,130th,162nd,135th,138th,170th,154th,165th,143rd,299th,318th,71st,262nd,361st,358th,57th,16th,196th,283rd,103rd,197th
