,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,32,40.3,26.5,56.8,0.466,18.3,35.6,0.513,8.3,21.3,0.388,16.8,21.1,0.794,8,25.7,33.7,16.9,7.7,2.6,11.2,15.6,78
Rank,,,148th,266th,72nd,176th,183rd,195th,119th,244th,7th,24th,78th,7th,337th,89th,275th,17th,83rd,288th,235th,298th,78th
Opponent,32,40.3,25.9,58.4,0.443,18.5,36.7,0.505,7.3,21.7,0.339,11.8,16.4,0.718,8.7,23.7,32.3,14.5,5.9,4,12.3,18,70.9
Rank,,,220th,201st,214th,233rd,236th,184th,144th,128th,206th,60th,54th,178th,27th,137th,57th,348th,74th,326th,212th,277th,145th
