,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40,27.6,57.6,0.479,20,36.3,0.55,7.6,21.3,0.359,14.4,20.3,0.71,11.7,24.5,36.2,14.1,9,3.4,10.8,16.1,77.2
Rank,,,70th,221st,35th,67th,149th,61st,185th,242nd,74th,136th,117th,229th,94th,204th,131st,140th,23rd,167th,274th,251st,89th
Opponent,33,40,22.1,54.8,0.402,14,29.7,0.471,8.1,25.2,0.32,11.8,16.6,0.714,10.9,21.6,32.5,12.2,6.3,3,14.5,15.9,64
Rank,,,14th,43rd,23rd,10th,19th,53rd,256th,312th,89th,63rd,64th,142nd,261st,27th,65th,224th,142nd,111th,333rd,96th,16th
