,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.3,27,56.8,0.475,17.5,29,0.605,9.4,27.9,0.339,11.9,16.2,0.733,8.6,29.1,37.7,17.1,3.7,4.6,12.3,10.9,75.2
Rank,,,111th,265th,44th,238th,356th,2nd,44th,29th,189th,299th,327th,137th,313th,3rd,57th,13th,361st,39th,123rd,364th,137th
Opponent,34,40.3,27,65.6,0.412,19.5,42.5,0.458,7.6,23.1,0.327,7.9,11.1,0.714,10.9,23.4,34.3,11.7,8.1,3.1,8,15.8,69.5
Rank,,,291st,361st,47th,301st,359th,21st,182nd,208th,119th,2nd,2nd,143rd,257th,111th,184th,352nd,340th,163rd,4th,86th,97th
