,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,34,40.4,28.1,59.4,0.474,20.6,39.7,0.52,7.5,19.7,0.38,16.4,23.4,0.702,12.1,25.3,37.4,14.6,7.8,4.7,13.8,17.8,80.1
Rank,,,53rd,125th,47th,36th,45th,163rd,202nd,307th,19th,33rd,21st,255th,65th,121st,70th,106th,77th,31st,31st,105th,37th
Opponent,34,40.4,25.4,60.6,0.419,17.5,36,0.486,7.9,24.6,0.322,14.5,20.4,0.711,12.1,22.4,34.4,13.7,7.6,3.7,13.7,18.7,73.2
Rank,,,179th,293rd,73rd,142nd,209th,101st,247th,297th,97th,255th,268th,131st,345th,54th,194th,259th,312th,295th,310th,324th,220th
