,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40,26.3,55.8,0.472,17.7,32.4,0.546,8.6,23.4,0.37,17.5,22.1,0.794,8.3,23.7,32.1,13.7,7.8,2.3,12.1,18.5,78.8
Rank,,,164th,304th,55th,226th,293rd,75th,82nd,146th,41st,12th,40th,8th,325th,269th,325th,171st,72nd,326th,144th,43rd,60th
Opponent,33,40,26.1,58.4,0.447,18.6,33.9,0.549,7.5,24.5,0.305,15.2,20.9,0.729,11,23.2,34.2,12.3,7.2,3.4,12.7,18.2,74.8
Rank,,,233rd,203rd,236th,245th,105th,337th,166th,291st,22nd,295th,292nd,242nd,275th,96th,176th,192nd,267th,221st,249th,291st,268th
