,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.8,27.1,60.5,0.448,18.6,36.3,0.513,8.5,24.2,0.351,13.8,18.5,0.745,12.7,23.2,36,14.6,7.6,2.9,11,16.3,76.5
Rank,,,104th,82nd,168th,151st,151st,201st,94th,117th,113th,183rd,219th,96th,42nd,294th,139th,107th,87th,248th,252nd,234th,107th
Opponent,33,40.8,24.2,55.8,0.433,16.3,33.2,0.49,7.9,22.6,0.35,12.9,18.5,0.697,10.3,22.4,32.7,14.4,6,3.9,12.7,16.7,69.2
Rank,,,90th,82nd,152nd,64th,79th,120th,235th,181st,277th,123rd,161st,60th,177th,58th,67th,257th,81st,319th,252nd,164th,90th
