,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,33,40.8,24.2,50.3,0.481,17.5,31.6,0.556,6.6,18.7,0.355,15.1,21.4,0.705,10.3,20.7,31,13.3,9,2.4,11.2,15.7,70.1
Rank,,,312th,364th,29th,236th,311th,41st,299th,338th,90th,102nd,64th,242nd,197th,358th,344th,202nd,20th,307th,240th,281st,282nd
Opponent,33,40.8,20.6,46.6,0.442,15,28.4,0.527,5.6,18.2,0.31,11.6,16,0.722,7,18.1,25.1,9.8,5.2,2.3,13.8,17.2,58.4
Rank,,,4th,1st,208th,23rd,5th,278th,5th,12th,47th,50th,46th,202nd,2nd,1st,1st,162nd,15th,11th,311th,207th,1st
